region,age,density
Western Europe,2.6973,0.09569
Western Europe,2.68232,0.09773
Western Europe,2.66733,0.09899
Western Europe,2.65235,0.10104
Western Europe,2.63736,0.10398
Western Europe,2.62238,0.10656
Western Europe,2.60739,0.10914
Western Europe,2.59241,0.11217
Western Europe,2.57742,0.11476
Western Europe,2.56244,0.11743
Western Europe,2.54745,0.121
Western Europe,2.53247,0.12491
Western Europe,2.51748,0.12847
Western Europe,2.5025,0.13115
Western Europe,2.48751,0.13382
Western Europe,2.47253,0.13739
Western Europe,2.45754,0.1413
Western Europe,2.44256,0.14486
Western Europe,2.42757,0.14753
Western Europe,2.41259,0.15012
Western Europe,2.3976,0.15306
Western Europe,2.38262,0.15511
Western Europe,2.36763,0.15637
Western Europe,2.35265,0.15851
Western Europe,2.33766,0.16199
Western Europe,2.32268,0.16589
Western Europe,2.30769,0.16945
Western Europe,2.29271,0.17212
Western Europe,2.27772,0.17471
Western Europe,2.26274,0.17764
Western Europe,2.24775,0.17961
Western Europe,2.23277,0.18033
Western Europe,2.21778,0.18105
Western Europe,2.2028,0.18301
Western Europe,2.18781,0.18595
Western Europe,2.17283,0.18852
Western Europe,2.15784,0.1911
Western Europe,2.14286,0.19404
Western Europe,2.12787,0.19609
Western Europe,2.11289,0.19735
Western Europe,2.0979,0.19939
Western Europe,2.08292,0.20224
Western Europe,2.06793,0.2042
Western Europe,2.05295,0.20492
Western Europe,2.03796,0.20564
Western Europe,2.02298,0.2076
Western Europe,2.00799,0.21054
Western Europe,1.99301,0.21311
Western Europe,1.97802,0.21569
Western Europe,1.96304,0.21864
Western Europe,1.94805,0.22069
Western Europe,1.93307,0.22204
Western Europe,1.91808,0.22471
Western Europe,1.9031,0.22951
Western Europe,1.88811,0.23431
Western Europe,1.87313,0.23698
Western Europe,1.85814,0.23832
Western Europe,1.84316,0.24038
Western Europe,1.82817,0.24333
Western Europe,1.81319,0.2459
Western Europe,1.7982,0.24848
Western Europe,1.78322,0.25152
Western Europe,1.76823,0.25411
Western Europe,1.75325,0.25677
Western Europe,1.73826,0.26034
Western Europe,1.72328,0.26424
Western Europe,1.70829,0.26772
Western Europe,1.69331,0.26986
Western Europe,1.67832,0.27112
Western Europe,1.66334,0.27316
Western Europe,1.64835,0.27602
Western Europe,1.63337,0.27807
Western Europe,1.61838,0.27942
Western Europe,1.6034,0.28209
Western Europe,1.58841,0.28689
Western Europe,1.57343,0.29178
Western Europe,1.55844,0.29498
Western Europe,1.54346,0.29766
Western Europe,1.52847,0.3007
Western Europe,1.51349,0.30339
Western Europe,1.4985,0.30668
Western Europe,1.48352,0.3122
Western Europe,1.46853,0.31895
Western Europe,1.45355,0.32446
