study,group,x,y
Puxi_cohort,IBD,0.29857723577235773,0.09017615176151758
Puxi_cohort,control,-0.19157427937915741,0.08795269770879523
Puxi_cohort,IBD,0.26230598669623056,0.08026607538802663
Puxi_cohort,control,-0.22531939605110338,0.08060394889663179
Puxi_cohort,control,-0.1700621712099474,0.0787183165949307
Puxi_cohort,IBD,0.18665545276142417,0.07502102607232965
Puxi_cohort,control,-0.19696969696969696,0.06681448632668141
Puxi_cohort,IBD,0.19403794037940375,0.056368563685636884
Puxi_cohort,IBD,0.4272143774069319,0.0528883183568678
Puxi_cohort,IBD,0.11565924354895722,0.04319547543301524
Puxi_cohort,control,-0.2652032520325203,0.026341463414634128
Puxi_cohort,control,-0.10679813181110533,0.024148071267946703
Puxi_cohort,IBD,0.2267208672086721,0.02330623306233059
Puxi_cohort,control,-0.16103814884302692,0.022514071294559134
Puxi_cohort,IBD,0.10685249709639955,0.012620983352690665
Puxi_cohort,IBD,0.07490165224232888,0.010018358248098649
Puxi_cohort,IBD,-0.032803110639802034,0.008130081300813009
Puxi_cohort,IBD,0.11113467656415692,0.006786850477200408
Puxi_cohort,IBD,0.13325942350332592,0.0019955654101995904
Puxi_cohort,IBD,0.36743450767841,-0.002393857271906063
Puxi_cohort,IBD,0.025759520753102307,-0.0023106546854942426
Puxi_cohort,control,-0.19457994579945798,-0.0005420054200541698
Puxi_cohort,control,-0.2875338753387534,-0.012466124661246643
Puxi_cohort,control,-0.22268292682926827,-0.017113821138211346
Puxi_cohort,IBD,-0.05248107653490329,-0.018559013176338627
Puxi_cohort,IBD,0.4384049554781262,-0.020441347270615536
Puxi_cohort,IBD,0.15331010452961671,-0.02160278745644598
Puxi_cohort,IBD,0.0556329849012776,-0.024390243902439025
Puxi_cohort,IBD,0.3332317073170732,-0.026321138211382114
Puxi_cohort,control,-0.16981707317073172,-0.03343495934959349
Puxi_cohort,IBD,0.1008130081300813,-0.032910569105691075
Puxi_cohort,IBD,0.13605224576835934,-0.03377315740370516
Puxi_cohort,control,-0.11587757054041127,-0.04452415112386417
Puxi_cohort,control,-0.2894308943089431,-0.05203252032520325
Puxi_cohort,IBD,0.04959349593495935,-0.059078590785907825
Puxi_cohort,IBD,0.29086275937386236,-0.07188448003883023
Puxi_cohort,IBD,0.4138211382113821,-0.06321138211382114
Puxi_cohort,IBD,-0.07073170731707316,-0.06883468834688344
Puxi_cohort,IBD,-0.05331257567894824,-0.06939975782736549
Puxi_cohort,IBD,0.08195121951219508,-0.07382113821138207
Puxi_cohort,IBD,0.0008869179600887171,-0.07213599408721362
Puxi_cohort,IBD,0.11066202090592338,-0.0760511033681765
Puxi_cohort,IBD,-0.08780487804878048,-0.07317073170731707
Puxi_cohort,IBD,0.14065040650406505,-0.07794037940379404
Puxi_cohort,IBD,0.3345691056910569,-0.07850406504065036
Puxi_cohort,control,-0.27405764966740576,-0.08026607538802663
Puxi_cohort,IBD,0.22880371660859466,-0.08292682926829269
Puxi_cohort,control,-0.107479674796748,-0.08772357723577234
Puxi_cohort,IBD,0.13297199638663051,-0.09003312255344777
Puxi_cohort,IBD,0.3916158536585366,-0.09735772357723577
Puxi_cohort,control,-0.14508807588075884,-0.10271002710027104
Puxi_cohort,control,-0.11329378158646451,-0.10208745330696553
Puxi_cohort,IBD,0.23655733109055227,-0.10546677880571913
